image,formula
UN_112_em_268.png,"$ B ( a , b ) = \left ( \frac { a + b } { b } \right ) \left ( \frac { a + b + 1 } { a } \right ) B ( a + 1 , b + 1 ) $"
2009213-139-29.png,$ { \sqrt { \mbox { u } } + { H } ^ { \mbox { E } } } $
MfrDB0114.png,$ { x ^ { k } } + { y ^ { k } } \leq { ( x + y ) ^ { k + 2 } } $
rit_4230_3.png,$ \frac { 6 } { 3 } $
formulaire028-equation028.png,$ x _ { n + 1 } $
109_rosario.png,$ \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } } $
formulaire030-equation025.png,$ 9 \pm 9 8 - ( 2 8 \times 1 5 9 ) $
200926-1617-93.png,$ \left ( { S - { \mbox { l } } _ { C } } \right ) $
2009212-952-3.png,$ \sum _ { { \mbox { F } \geq \mbox { d } } } { P } $
formulaire025-equation056.png,$ x - y $
200923-1254-327.png,$ { Y + \mbox { e } } $
200922-1017-33.png,$ { \mbox { t } + { \mbox { Y } } _ { d } } $
2009213-137-61.png,$ k ^ 3 + 1 4 k ^ 2 - 1 3 2 k + 1 7 8 9 $
200924-1312-298.png,$ \mbox { r } $
formulaire004-equation055.png,$ ( 1 5 9 - 1 6 2 - 5 2 ) + ( ( 1 2 8 / 1 6 9 ) - ( 1 4 \times 1 3 ) ) = - 1 3 2 . 2 4 $
formulaire027-equation072.png,$ g _ { u u } g _ { v v } $
UN_463_em_911.png,$ V = a _ 1 + a _ 2 \cos \theta + a _ 3 \cos 2 \theta $
501_em_3.png,$ k _ \mathrm { e } $
formulaire022-equation051.png,$ \sqrt { x d } $
200923-1254-147.png,$ \sqrt { { T + \mbox { N } } } $
formulaire006-equation003.png,$ \cos ( a + b ) = \cos ( a ) \cos ( b ) - \sin ( a ) \sin ( b ) $
MfrDB0080.png,$ a _ { n + 1 } = a _ { n } - \frac { f ( a _ { n } ) } { f ^ { ' } ( a _ { n } ) } $
105_em_81.png,$ \frac { C _ { p A } ^ k C _ { q A } ^ { n - k } } { C _ A ^ n } $
formulaire038-equation033.png,$ X _ { k \times 1 } $
200922-949-262.png,$ { \mbox { n } } ^ { B } $
KME2G3_26_sub_96.png,$ [ b ^ x \ { ( \frac a b ) ^ x + 1 \ } ] ^ { \frac 1 x } $
200926-131-81.png,$ { \cdots - 6 } $
UN_119_em_406.png,$ \lim _ { r \rightarrow \infty } \frac { u _ n ( r ) } { r ^ { n } } = 0 $
MfrDB0011.png,$ s = \frac { 1 } { 2 } a { t ^ { 2 } } $
formulaire015-equation069.png,"$ \phi ( x , y ) $"
127_em_498.png,$ H _ n / T $
formulaire014-equation024.png,$ w ^ { \alpha } = \frac { 2 } { \sqrt { 3 } } ( \cos ( \frac { \alpha \pi } { 3 } + \frac { \pi } { 6 } ) + w \sin \frac { \alpha \pi } { 3 } ) $
formulaire006-equation043.png,$ X _ 0 ( n ) $
200923-1556-119.png,$ { - q } $
RIT_2014_77.png,$ \frac { V _ { 2 } } { V _ { 1 } } = \frac { V _ { 3 } } { V _ { 4 } } $
formulaire013-equation002.png,"$ \frac { d g _ { i } } { d s } = \beta _ { i } ( g _ { 1 } , \ldots , g _ { n } ) $"
formulaire051-equation053.png,$ c \leq a b $
200925-1126-27.png,$ { 1 \sum { x } } $
82_user0.png,$ q = \sqrt { ( \frac { B - A } { C } ) ^ 2 + 1 } + \frac { B - A } { C } $
200923-1253-44.png,$ \sin \left ( \frac { \pi } { 4 } \right ) = \frac { 1 } { \sqrt { 2 } } $
26_em_80.png,$ \frac { 3 1 9 } { 2 8 } = 1 1 . 3 9 $
20_em_43.png,$ ( 6 4 8 + 6 4 8 ) ^ \frac { 1 } { 4 } + 8 $
MfrDB3241.png,$ { ( 1 + x ) ^ { r } } \geq 1 + r x $
TrainData2_2_sub_63.png,$ \frac { 1 } { a } F \left ( a x + b \right ) + C $
formulaire013-equation026.png,$ X _ 2 = 2 1 $
formulaire036-equation074.png,$ u _ n = \frac { n ^ 2 - n + 1 } { n ^ 2 } $
MfrDB2546.png,"$ f ( x , y ) = \frac { x } { y } + x y $"
98_miguel.png,$ \cos \alpha = \frac { a } { \sqrt { a ^ 2 + b ^ 2 + c ^ 2 } } $
ritm_422_0.png,$ + 7 \times 9 ^ { 5 } + 7 \times 9 ^ { 4 } + 7 \times 9 ^ { 3 } + 7 \times 9 ^ { 2 } + 7 \times 9 $
MfrDB1439.png,$ 1 2 3 4 + 5 6 7 8 \gt 9 0 $
formulaire018-equation061.png,$ \alpha + \gamma = \beta $
MfrDB2959.png,$ \sum _ { n = 0 } ^ { \infty } f _ { n } ( x ) $
formulaire039-equation041.png,$ e ^ { i \theta } = \cos ( \theta ) + i \sin ( \theta ) $
121_em_309.png,$ S _ 2 = n S _ 1 $
TrainData2_16_sub_73.png,$ \alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } \alpha _ { n } + \beta - 3 \beta $
formulaire019-equation049.png,"$ h ( f , \alpha ) = \lim _ { n \rightarrow + \infty } \frac { 1 } { q n } $"
UN_120_em_427.png,$ - b \leq x ( p ) \leq b $
200922-949-196.png,$ { v - \sqrt { \mbox { o } } } $
UN_127_em_596.png,"$ f ( x , y ) = x ( 1 - x ) + y ( 1 - y ) - x y $"
200923-1556-182.png,$ \left [ { X - S } \right ] $
2009210-947-178.png,$ \frac { \mbox { d } } { { \mbox { r } } ^ { X } } $
formulaire030-equation035.png,$ 1 6 2 \pm ( 8 2 \div 1 7 5 ) - 7 8 $
UN_126_em_584.png,$ \sqrt [ 4 ] { - g } $
200923-131-255.png,$ \mbox { g w } $
formulaire005-equation027.png,$ x x ^ m = x ^ { m + 1 } $
KME1G3_12_sub_21.png,$ A = \sqrt { a + \frac 1 { \sqrt { a + \frac 1 { \sqrt a } } } } + \sqrt b $
formulaire018-equation070.png,$ ( ( 7 \div 3 ) \div 1 8 7 ) - 7 0 \neq - 2 8 $
formulaire022-equation052.png,$ q = 1 + \alpha ( 1 - \cos \theta ) $
200924-1312-287.png,$ \mbox { i } $
RIT_2014_253.png,$ ( y ^ { \frac { 1 } { b } } ) ^ { b } \leq ( x ^ { \frac { 1 } { b } } ) ^ { b } $
2009213-137-164.png,$ { \mbox { E } + \mbox { T } \left ( S \right ) } $
513_em_322.png,$ x _ { L L } \leq x _ { L } $
200924-1331-288.png,$ { - \sigma } $
formulaire006-equation062.png,$ a ^ n = - p _ { n - 1 } a ^ { n - 1 } b + \ldots + p _ 0 b ^ n $
MfrDB1885.png,$ \lim _ { n \to \infty } \frac { { n ^ { 2 } } + 3 n } { 2 { n ^ { 2 } } + 1 } = \frac { 1 } { 2 } $
MfrDB3280.png,"$ g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | } $"
formulaire035-equation002.png,$ x ^ i = g ^ { i j } x _ j $
UN_465_em_972.png,$ \frac { 1 } { \sqrt { 3 } } $
formulaire006-equation060.png,$ ( ( 1 3 3 \div 3 6 ) + 1 3 5 ) - ( ( 3 8 \div 1 8 6 ) \times ( 3 3 \times 1 9 3 ) ) = - 1 1 6 2 . 5 0 $
KME2G3_15_sub_35.png,$ \log _ 2 \frac 1 2 + \log _ 4 \frac 2 4 $
2009210-947-69.png,$ \int ^ { { - \mbox { p } } } _ { \sum { j } } { \mbox { w } \mbox { x } } d \alpha $
formulaire019-equation057.png,$ 1 + \frac { t } { 1 0 0 } $
200926-1550-118.png,$ \int \mbox { y } d x $
formulaire037-equation056.png,$ 2 - 5 i $
formulaire042-equation017.png,$ \sum _ { k = 1 } ^ \infty X _ k $
formulaire038-equation071.png,$ \frac { d f } { d x } $
200922-1017-2.png,$ \int e ^ { x ^ 2 } x ^ 3 d x $
200922-1017-154.png,$ { \left ( \mbox { C } \right ) } ^ { { 9 + \mbox { e } } } $
formulaire022-equation060.png,$ ( ( 6 4 / 6 9 ) \times 1 4 3 ) - ( 1 8 1 / 1 6 6 ) \geq 1 3 1 $
formulaire034-equation037.png,"$ s _ 1 , \ldots , s _ n $"
MfrDB2087.png,$ \frac { b } { { a ^ { 2 } } - a } - \frac { b } { a - 1 } $
123_em_382.png,$ P _ { s a t ( T ) } $
20_em_40.png,$ \sqrt { 4 x ^ 5 + x } $
formulaire019-equation005.png,$ 1 3 9 \pm ( 1 8 4 \times ( 5 4 + 1 0 2 ) ) + ( ( 1 7 8 \div 1 6 9 ) + 2 7 ) $
formulaire035-equation019.png,$ { m ^ 2 s ^ { - 3 } } $
200924-1331-43.png,$ \frac { \pi r ^ 2 h } { 3 } $
200923-1251-15.png,$ { \mbox { M } - g } $
formulaire010-equation001.png,$ a _ 0 = 2 $
UN_122_em_484.png,$ x _ 0 ^ 2 + x _ 1 ^ 2 + x _ 2 ^ 2 + x _ 3 ^ 2 = 1 $
MfrDB0556.png,$ \sqrt { 2 } $
rit_4265_1.png,$ x + y $
MfrDB3374.png,$ \sqrt { x y z } = \sqrt { x } \sqrt { y } \sqrt { z } $
507_em_76.png,$ 4 \times 4 + 4 + 4 \ ! $
200925-1126-81.png,$ s $
2009213-137-14.png,$ a + \sqrt { \frac { b + c } { d + f } } $
formulaire016-equation027.png,"$ x = ( x _ 1 , x _ 2 , \ldots , x _ n ) $"
formulaire044-equation060.png,$ ( ( 1 4 4 + 1 5 9 ) - ( 1 7 6 \div 1 8 6 ) ) + 1 9 6 \geq 4 9 7 $
RIT_2014_70.png,$ 1 + 1 + 1 + 1 + 1 = 5 $
200924-1312-234.png,$ { \mbox { B } \geq { 1 + \mbox { y } } } $
formulaire054-equation008.png,$ \alpha 0 = 0 \alpha = 0 $
UN_124_em_529.png,$ \lim _ { n \rightarrow + \infty } B _ n = I $
MfrDB3483.png,$ \lim _ { n \to \infty } \frac { 1 } { { n ^ { p } } } = 0 $
RIT_2014_165.png,$ p ^ { \beta _ { 1 } } _ { 1 } p ^ { \beta 2 } _ { 2 } \ldots p ^ { \beta n } _ { n } $
106_em_109.png,$ p = \frac { 2 ( N _ 0 - N _ t ) } { 2 N _ 0 } $
MfrDB0755.png,$ E = m { c ^ { 2 } } $
131_leissi.png,$ f ( x ) = a _ n x ^ n + a _ { n - 1 } x ^ { n - 1 } + \cdots + a _ 1 x + a _ 0 $
formulaire004-equation027.png,$ h ( \theta ) $
UN_464_em_945.png,$ - \frac { 1 } { 3 } + \frac { 1 } { 2 } = \frac { 1 } { 6 } $
UN_134_em_1148.png,$ - \infty < x < \infty $
MfrDB1968.png,$ E _ { k } = \frac { 1 } { 2 } m _ { 1 } { v _ { 1 } ^ { 2 } } + \frac { 1 } { 2 } m _ { 2 } { v _ { 2 } ^ { 2 } } $
MfrDB3242.png,$ { e ^ { \pi i } } + 1 = 0 $
formulaire030-equation046.png,$ - f ( x ) g ( x _ 0 ) + g ( x _ 0 ) f ( x ) $
MfrDB1445.png,$ { ( a ) ^ { - 1 } } - 1 $
TrainData1_3_sub_7.png,$ \tan z = \frac { \sin z } { \cos z } $
37_em_13.png,$ 8 0 ^ o $
UN_123_em_494.png,$ \sin \pi \alpha $
formulaire007-equation067.png,"$ h = \frac { 1 } { 2 } \times 9 , 8 1 \times 0 , 5 ^ { 2 } $"
formulaire013-equation031.png,$ X _ 2 = \frac { - 2 - 2 i } { 2 } = - 1 - i $
KME2G3_1_sub_14.png,$ ( y + 1 ) ^ 2 = y ^ 2 + 2 y + 1 $
formulaire041-equation046.png,$ x = a + i d $
MfrDB1665.png,$ x + 1 0 = 2 0 $
200923-131-260.png,$ \frac { \sqrt { \mbox { a } } } { \sqrt { \mbox { z } } } $
formulaire025-equation020.png,$ ( 1 5 8 \times 9 8 ) - 1 6 2 = 1 5 3 2 2 $
UN_130_em_1065.png,"$ \lim _ { n \rightarrow \infty } T _ { 2 n , 2 n - 1 } = - 2 + \sqrt 3 $"
2009212-952-19.png,$ x ^ 2 + y ^ 2 = z ^ 2 $
KME1G3_7_sub_29.png,$ ( a ^ 2 + b ^ 2 ) ( c ^ 2 + d ^ 2 ) \geq ( a c + b d ) ^ 2 $
formulaire012-equation041.png,$ \sqrt { 1 - x } $
formulaire031-equation053.png,$ g ( x + 4 ) = g ( x ) $
MfrDB1581.png,$ \int \limits _ { o } ^ { R } \frac { 2 x d x } { 1 + { x ^ { 2 } } } = \log ( 1 + { R ^ { 2 } } ) $
UN_121_em_458.png,$ x ^ 0 x ^ 1 x ^ 2 x ^ 3 x ^ 4 x ^ 5 $
formulaire017-equation038.png,$ ( n + 2 ) $
formulaire006-equation044.png,$ f ( x ) = \frac { \sqrt x - 2 } { x - 4 } = \frac { u - 2 } { u ^ 2 - 4 } $
200922-949-244.png,$ \sum { M } $
formulaire016-equation035.png,$ 9 1 + ( ( 1 4 7 / 1 1 5 ) \times 9 7 ) \leq 2 1 5 $
formulaire012-equation020.png,$ 1 7 9 - 1 6 9 - 9 6 + 1 5 1 \geq 6 4 $
2009212-952-1.png,$ \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 1 4 } } d z $
2009212-1031-30.png,$ \left [ s \right ] $
65_Frank.png,$ x = r \cos \theta $
200923-131-291.png,$ \sum { n } $
TrainData2_24_sub_20.png,$ a + b + c + d + e $
MfrDB1235.png,$ { x ^ { y } } - { y ^ { x } } $
UN_106_em_131.png,$ b \in T $
200925-1126-42.png,$ \frac { 1 } { 3 } \pi r ^ 2 h $
122_em_337.png,$ M ( z ) $
MfrDB1838.png,$ 3 x - 5 \lt - 2 $
MfrDB2084.png,$ { ( 1 2 - x ) ^ { 2 } } $
formulaire050-equation057.png,$ m = \frac { 1 } { b - a } \times \int _ { a } ^ { b } f ( x ) d x $
200923-1254-301.png,$ \sqrt { { \phi + \mbox { c } } } $
formulaire027-equation024.png,$ e ^ { \alpha t } \cos \beta t $
UN_102_em_42.png,$ x _ 1 x _ 2 x _ 3 x _ 4 x _ 5 $
109_Fabricio.png,$ \sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } } $
MfrDB3454.png,$ \cos ^ { 3 } y = \frac { 1 } { 4 } ( \cos 3 y + 3 \cos y ) $
116_caue.png,$ x = \frac { - b \pm \sqrt { b ^ 2 - 4 a c } } { 2 a } $
110_rosario.png,$ \frac { 1 } { \frac { 1 } { 2 } \Big ( \frac { 1 } { a } + \frac { 1 } { b } \Big ) } = \frac { 2 a b } { a + b } $
MfrDB2586.png,$ \frac { a _ { 1 } + a _ { 2 } + { a ^ { 3 } } } { 1 - x } $
formulaire015-equation042.png,$ a _ { n - 1 } a _ n = a _ 1 $
formulaire016-equation021.png,$ a + 0 = a $
200923-1253-261.png,$ \int \left [ { \mbox { M } e } \right ] d h $
122_em_350.png,"$ L = 2 ^ { 1 / 4 } \mathrm { m } = 1 1 8 , 9 \mathrm { c m } $"
200926-1617-16.png,$ \frac { { \mbox { u } + \mbox { r } } } { \sqrt { u } } $
MfrDB1903.png,$ 1 + \tan ^ { 2 } y = \frac { 1 } { \cos ^ { 2 } y } $
200923-1556-168.png,$ { \mbox { a f } } _ { \mbox { Y } } $
200924-1312-82.png,$ { \mbox { t } \left ( \left ( \phi \right ) \right ) } $
31_em_188.png,$ \tan a = \frac { \sin a } { \cos a } $
MfrDB3022.png,"$ h ( x , y ) = { x ^ { y + \frac { 1 } { y } } } $"
2009212-952-120.png,$ { - y } $
200923-1553-179.png,$ \sum { { S - \left ( \mbox { m } \right ) } } $
126_em_453.png,$ \Delta d = c . \Delta t $
501_em_24.png,$ \log v = b \log 2 $
formulaire038-equation074.png,$ g ( x ) - t $
200923-1253-265.png,$ { { 8 + { \mbox { A } \mbox { m } } } \gt \sum { X } } $
formulaire003-equation062.png,$ a p _ 0 + b q _ 0 = 1 $
UN_454_em_682.png,$ 1 2 x _ 5 - x _ 6 + 8 x _ 8 = 0 $
formulaire036-equation008.png,$ \sum _ { k = 1 } ^ n k = \frac { n ( n + 1 ) } { 2 } $
formulaire025-equation073.png,$ a _ i $
formulaire039-equation008.png,$ ( 5 n ^ 2 - n ) + 1 $
formulaire008-equation043.png,$ x _ 4 = - \sqrt { 2 } $
MfrDB2944.png,$ m ( b - a ) \leq \int \limits _ { a } ^ { b } f ( x ) d x \leq M ( b - a ) $
formulaire015-equation011.png,$ \gamma _ { 1 3 } $
200924-1312-258.png,$ 0 . 9 $
200922-949-161.png,$ \frac { { i + { i } ^ { \mbox { B } } } } { \left [ a \right ] } $
formulaire056-equation068.png,$ 1 2 = 2 y $
formulaire034-equation012.png,$ 1 0 ^ m $
65_alfonso.png,$ x = r \cos \theta $
TrainData2_1_sub_88.png,$ 3 0 \times 2 9 x ^ { 2 8 } $
formulaire009-equation010.png,$ ( ( 9 6 / 4 3 ) / 1 5 9 ) - ( 1 7 2 + 1 0 1 + 8 9 - 1 2 5 ) \neq - 1 5 3 $
formulaire039-equation066.png,$ y ( x ) = x ^ 2 - n $
2009210-947-126.png,$ { \mbox { i } } _ { { e } _ { \mbox { V } } } $
MfrDB2010.png,$ f ^ { ' } ( x ) = \frac { 1 } { 2 \sqrt { x } } $
82_hirata.png,$ q = \sqrt { ( \frac { B - A } { C } ) ^ 2 + 1 } + \frac { B - A } { C } $
UN_118_em_384.png,$ - x ^ 2 - y ^ 3 + 1 6 y z ^ 3 = 0 $
formulaire038-equation030.png,$ ( 1 1 8 / ( 2 / 1 3 1 ) ) / 1 5 9 = 4 8 . 6 1 $
rit_42100_2.png,$ \frac { \sqrt { 4 } } { 2 } $
2009212-1031-118.png,$ \mbox { i } $
UN_451_em_611.png,$ Y \rightarrow Y $
MfrDB0212.png,$ 1 + 2 + 3 $
UN_122_em_486.png,$ \frac { n - 1 } { 2 ( k + n - 2 ) } + \frac { m - 1 } { 2 ( k + m - 2 ) } $
MfrDB1557.png,$ 3 x - 5 \lt - 2 $
508_em_87.png,$ v _ v = v \sin \theta \ ; $
UN_122_em_492.png,$ q = \frac { \sqrt { d } } { 2 } $
MfrDB1709.png,$ \int \limits _ { a } ^ { b } f ( x ) d x = F ( b ) - F ( a ) $
509_em_94.png,$ b _ 1 B _ 1 + b _ 2 B _ 2 + b _ 3 B _ 3 $
200926-1617-220.png,$ \mbox { M } $
502_em_13.png,$ e ^ x + 1 8 x + 1 2 $
formulaire005-equation000.png,$ ( ( 1 5 \times 1 3 1 ) / 1 1 6 ) / ( ( 7 5 \times 2 2 ) - 1 6 9 ) \neq 0 $
KME2G3_5_sub_42.png,$ \sqrt 2 ( \frac 1 { \sqrt 2 } \sin x + \frac 1 { \sqrt 2 } \cos x ) $
KME2G3_24_sub_74.png,$ \int _ { \log 3 } ^ 0 \frac 1 { e ^ t + 1 } d t $
TrainData2_5_sub_39.png,$ \sin x - \sin y - \sin \left ( x - y \right ) $
200923-1253-146.png,$ { 1 + { \mbox { G } } ^ { g } } $
2009210-947-44.png,$ \sin \left ( \frac { \pi } { 4 } \right ) = \frac { 1 } { \sqrt { 2 } } $
formulaire018-equation005.png,$ 9 9 \times 1 8 2 = 1 8 0 1 8 $
200926-131-133.png,$ \sigma \left ( \sqrt { \beta } \right ) $
11_em_95.png,$ \forall u \in V $
KME2G3_18_sub_65.png,$ [ \frac 2 3 x ^ { \frac 3 2 } ] _ 0 ^ 1 $
formulaire011-equation012.png,$ q ^ { i ( 0 ) } = q ^ i $
001-equation0010.png,$ 0 < x < 1 $
93_caue.png,$ r ( r _ 0 \sin ( \theta - \theta _ 0 ) - r _ 1 \sin ( \theta - \theta _ 1 ) ) = r _ 0 r _ 1 \sin ( \theta _ 1 - \theta _ 0 ) $
RIT_2014_299.png,$ 8 9 7 $
2009210-947-114.png,$ \mbox { j } $
200922-947-115.png,$ \left [ { \cdots - o } \right ] $
36_em_45.png,$ x + ( - x ) \geq 0 + ( - x ) $
formulaire035-equation036.png,$ ( x - 2 ) $
200924-1331-266.png,$ { { G } _ { \mbox { h } } } ^ { { Y - v } } $
formulaire031-equation057.png,"$ ( p , r ) $"
514_em_328.png,$ a ^ p + b ^ p = c ^ p $
200922-947-88.png,$ \sin \mbox { L } $
2009213-137-225.png,$ \cos \frac { E } { \mbox { M } } $
MfrDB3349.png,$ \int { x ^ { n } } d x = \frac { { x ^ { n + 1 } } } { n + 1 } + C $
formulaire048-equation001.png,$ \sum c _ n $
RIT_2014_179.png,$ y = 3 x + 7 + \frac { x + 8 } { x } $
MfrDB1325.png,$ f ^ { ' } ( x ) = \frac { 1 } { 2 \sqrt { x } } $
200923-1254-335.png,$ { \mbox { G } + 6 . 2 } $
70_carlos.png,$ \cos \theta = \frac { x } { \sqrt { x ^ 2 + y ^ 2 } } $
KME2G3_13_sub_35.png,$ \log _ 2 \frac 1 2 + \log _ 4 \frac 2 4 $
129_carlos.png,$ 1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 } $
TrainData2_17_sub_29.png,$ x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } } $
UN_101_em_10.png,$ \frac { 1 } { 4 } = - \frac { 3 } { 4 } + 1 $
200923-1254-144.png,$ { - \sqrt { 0 } } $
2009213-139-213.png,$ { \mbox { T } - { \mbox { f } \mbox { M } } } $
76_leissi.png,$ a = b \cos C + c \cos B $
formulaire024-equation066.png,$ 2 \pm \sqrt { 2 } $
formulaire016-equation012.png,$ u _ n = \frac 1 n $
200926-1617-234.png,$ \mbox { j } $
formulaire013-equation037.png,$ x _ i = x _ 0 + i h $
formulaire015-equation029.png,$ \frac { 1 } { \sqrt { 1 - \frac { v ^ 2 } { c ^ 2 } } } $
200924-1312-26.png,$ a + \frac { \sqrt { b + c } } { 2 } $
UN_110_em_242.png,$ e ^ { \gamma ^ { 5 } } = \cos \alpha + \gamma ^ { 5 } \sin \alpha $
formulaire019-equation013.png,$ ( a + b ) ^ 4 = a ^ 4 + 4 a ^ 3 b + 6 a ^ 2 b ^ 2 + 4 a b ^ 3 + b ^ 4 $
KME2G3_16_sub_81.png,$ \pi \int _ c ^ d \ { g ( y ) \ } ^ 2 d y $
formulaire008-equation037.png,$ x = \beta _ { 3 } y _ { 3 } + \ldots + \beta _ { n + 1 } y _ { n + 1 } $
formulaire029-equation058.png,$ y ^ 2 = x ^ 3 - 3 x + 2 $
formulaire022-equation064.png,"$ ( 5 , 7 ) $"
UN_134_em_1139.png,$ \lim _ { r \rightarrow \infty } e ^ { 2 r } ( n - H ( r ) ) = 2 n $
128_em_532.png,$ E = d g $
MfrDB2092.png,$ \frac { 1 0 0 ! } { 9 7 ! \cdot 6 ! } $
formulaire045-equation066.png,$ ( 6 \sqrt { 2 1 } - 2 7 ) x ^ 2 + 3 x + 4 \sqrt { 2 1 } - 1 8 = 1 0 \sqrt { 2 1 } - 4 2 $
200923-1556-137.png,$ { - \sum { { m - \mbox { T } } } } $
UN_119_em_411.png,$ y ^ 4 = ( x - b _ 1 ) ^ 2 ( x - b _ 2 ) ^ 3 ( x - b _ 3 ) ^ 3 $
MfrDB2078.png,$ \frac { { 2 ^ { 5 } } } { 3 + 1 } $
formulaire013-equation043.png,$ x _ 2 = \frac c { a x _ 1 } $
formulaire022-equation049.png,$ p o \beta $
formulaire036-equation039.png,"$ ( r , \theta , \phi ) $"
200923-1251-51.png,$ \mbox { z V T } $
RIT_2014_150.png,$ \cos \theta = \frac { e ^ { i \theta } + e ^ { - i \theta } } { 2 } $
200923-1254-332.png,$ \mbox { v } $
formulaire008-equation038.png,$ f ( n ) = 2 + 0 = 2 $
MfrDB3144.png,$ \lim _ { n \to \infty } ( x _ { n } / y _ { n } ) = L _ { 1 } / L _ { 2 } $
MfrDB3017.png,$ | \int \limits _ { a } ^ { b } f ( x ) d x | \leq \int \limits _ { a } ^ { b } | f ( x ) | d x $
200926-131-218.png,$ \mbox { j } $
200923-1553-269.png,$ 5 $
81_herbert.png,$ A _ { 2 k } = \frac { 2 R A _ k } { 2 R + \sqrt { 4 R ^ 2 + A ^ 2 _ k } } $
28_em_141.png,$ \frac { 2 A B } { A + B } $
MfrDB2147.png,$ \lim _ { x \to 0 } \frac { 1 - \cos x } { x } = 0 $
200923-131-1.png,$ \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 1 4 } } d z $
200926-131-158.png,$ { \cdots + \mbox { o } } $
MfrDB2286.png,$ \frac { \sqrt { 9 9 { x ^ { 7 } } } } { 1 1 { x ^ { 3 } } } $
2009213-137-153.png,$ \mbox { R } $
KME2G3_11_sub_30.png,$ \sum _ { i = 2 n + 3 m } ^ { 1 0 } i x $
KME2G3_16_sub_22.png,$ x _ x ^ x + y _ y ^ y + z _ z ^ z - x - y - z $
MfrDB1667.png,$ a _ { 1 } + a _ { 2 } $
formulaire023-equation006.png,$ x ( x ( x x ) ) = ( x ( x x ) ) x = ( x x ) ( x x ) $
formulaire018-equation016.png,$ f ( x ) = y _ a + ( x - x _ a ) \frac { y _ b - y _ a } { x _ b - x _ a } $
200922-1017-75.png,$ 6 $
96_Fabricio.png,$ y = a S ( t ) = a \int _ 0 ^ { t } \sin ( \frac { 1 } { 2 } \pi s ^ 2 ) d s $
TrainData2_4_sub_13.png,$ \frac { \sin \theta + \cos \theta + \tan \theta } { x + y + z } $
UN_103_em_72.png,$ \mbox { C } ^ 2 $
MfrDB2419.png,$ \int \limits _ { 0 } ^ { 1 } \sqrt { x } d x $
200923-1253-41.png,$ \sum _ { { R \geq H } } { B } $
formulaire040-equation065.png,$ 1 9 7 + 6 2 \neq - 7 4 $
formulaire009-equation009.png,$ u _ { 1 8 } $
formulaire037-equation023.png,$ f ( x ) = \sqrt { x } - 1 $
200923-131-269.png,$ \alpha $
200923-1556-155.png,$ 0 . 4 $
MfrDB3542.png,$ \sin \frac { \pi } { 4 } = \cos \frac { \pi } { 4 } = \frac { \sqrt { 2 } } { 2 } $
2009213-137-127.png,$ { \mbox { l } } _ { { \mbox { d } } _ { A } } $
200922-947-80.png,$ e ^ { \int x ^ 2 d x } $
formulaire037-equation021.png,$ x ^ 2 + y ^ 2 = 1 $
118_em_219.png,"$ B ( X , M ) $"
formulaire025-equation049.png,$ w c = v b $
formulaire052-equation028.png,$ \alpha + \gamma $
RIT_2014_170.png,$ \sin x - \sin y = 2 \cos ( \frac { x + y } { 2 } ) \sin ( \frac { x - y } { 2 } ) $
UN_464_em_936.png,$ \frac { 1 } { 2 } \int C ^ 1 C ^ 2 $
formulaire001-equation074.png,$ l _ i ( x _ i ) = 1 $
UN_101_em_4.png,$ \frac { d A ^ { - 1 } } { d x } = - A ^ { - 1 } \frac { d A } { d x } A ^ { - 1 } $
001-equation001.png,$ $ B _ n ( 1 - x ) = ( - 1 ) ^ n B _ n ( x ) $ $
formulaire019-equation039.png,$ q = a 1 + b i + c j + d k $
MfrDB3497.png,$ ( { y ^ { 4 } } - 1 ) / ( { y ^ { 2 } } - 1 ) $
200922-949-205.png,$ { \mbox { y } } _ { \mbox { w } } $
RIT_2014_221.png,$ A + B + B = A + B $
27_em_118.png,$ \sqrt { 3 2 } + \sqrt { 3 2 } $
200923-131-268.png,$ \frac { { 0 s } } { 5 . 7 } $
9_em_76.png,$ \phi \in S $
2009210-947-198.png,$ { 1 + \mbox { L } } $
UN_121_em_452.png,$ f - l + e _ 1 + e _ 7 + e _ 8 + e _ 9 $
formulaire034-equation069.png,$ \frac { d p } { d t } = c p ( 1 - p ) - e p $
2009213-137-170.png,$ \mbox { b } $
formulaire031-equation018.png,$ 5 x - \frac { 1 } { 4 } x + \frac { 1 } { 4 } = 1 $
formulaire031-equation059.png,"$ ( q _ i , p _ i ) $"
formulaire034-equation047.png,$ h _ e ( z ) = h _ 0 + h _ 2 z ^ { - 1 } $
116_em_167.png,$ 2 ^ { 2 ^ N } $
formulaire042-equation020.png,$ ( 1 2 2 \div 1 8 5 ) \div 6 2 = 0 . 0 1 $
formulaire014-equation034.png,$ a z _ { i j } $
